date,filtered_mean,filtered_variance,smoothed_mean,smoothed_variance,simple_return
2017-11-28,1.2724222332730246e-4,3.931142812743355e-5,4.958207534724836e-4,1.60377582254247e-5,1.2725031896243522e-4
2017-11-29,-9.602446676467135e-4,3.931142812743355e-5,-0.0013562020685624421,1.60377582254247e-5,-9.597837802691744e-4
2017-11-30,0.0017590247693536863,3.931142812743355e-5,0.0017616007889389189,1.60377582254247e-5,0.0017605727609419919
2017-12-01,-9.194211444036721e-4,3.931142812743355e-5,-6.598673531021271e-4,1.60377582254247e-5,-9.189986062900779e-4
2017-12-04,-7.861894218431741e-4,3.931142812743355e-5,-5.817706577282671e-4,1.60377582254247e-5,-7.858804559135457e-4
2017-12-05,-5.774553117426687e-4,3.931142812743355e-5,-4.3522651421849605e-4,1.60377582254247e-5,-5.772886165120727e-4
2017-12-06,5.896782325881788e-5,3.931142812743355e-5,-2.91555040732095e-4,1.60377582254247e-5,5.8969561895105826e-5
2017-12-07,0.0015835179382355546,3.931142812743355e-5,0.0012231864032479758,1.60377582254247e-5,0.0015847723648141354
2017-12-08,7.505927987092153e-4,3.931142812743355e-5,6.940469023765604e-4,1.60377582254247e-5,7.508745639766001e-4
2017-12-11,-1.0150050463131034e-4,3.931142812743355e-5,-7.682566298172403e-5,1.60377582254247e-5,-1.0149535362935502e-4
2017-12-12,1.8431440298541369e-4,3.931142812743355e-5,-5.009285948343569e-5,1.60377582254247e-5,1.8433138992857145e-4
2017-12-13,2.829639851873117e-4,3.931142812743355e-5,7.643930150416333e-4,1.60377582254247e-5,2.830040232721931e-4
2017-12-14,-0.0018645776878515217,3.931142812743355e-5,-0.001814635064838603,1.60377582254247e-5,-0.0018628404427850631
2017-12-15,9.050569313393234e-4,3.931142812743355e-5,5.123769368046018e-4,1.60377582254247e-5,9.054666189514116e-4
2017-12-18,0.0010759573124154006,3.931142812743355e-5,0.0010599271323051037,1.60377582254247e-5,0.0010765363621434432
2017-12-19,-2.7625960236229345e-4,3.931142812743355e-5,-3.410933353407169e-4,1.60377582254247e-5,-2.762214461921042e-4
2017-12-20,4.6694867415372326e-4,3.931142812743355e-5,3.324759005635345e-4,1.60377582254247e-5,4.67057711656782e-4
2017-12-21,2.0687006598357538e-4,3.931142812743355e-5,3.048867284493512e-4,1.60377582254247e-5,2.0689146507124612e-4
2017-12-22,-3.138019374069604e-4,3.931142812743355e-5,-4.246669515327438e-4,1.60377582254247e-5,-3.1375270672873157e-4
2017-12-27,6.463878076679228e-4,3.931142812743355e-5,5.098596266831346e-4,1.60377582254247e-5,6.46596761286089e-4
2017-12-28,9.65516627630158e-5,3.931142812743355e-5,2.4580710883198955e-4,1.60377582254247e-5,9.655632402472136e-5
2017-12-29,-2.1726380833465785e-4,3.931142812743355e-5,-5.658486156072017e-4,1.60377582254247e-5,-2.172402082626368e-4
2018-01-02,0.001543863198640158,3.931142812743355e-5,0.0013184893766918049,1.60377582254247e-5,0.0015450555689682233
2018-01-03,4.6601481289477694e-4,3.931142812743355e-5,2.2936848552904327e-4,1.60377582254247e-5,4.661234146670079e-4
2018-01-04,4.7078115704583963e-4,3.931142812743355e-5,6.681361033868963e-4,1.60377582254247e-5,4.7089199188699027e-4
2018-01-05,-0.0010587262520724582,3.931142812743355e-5,-8.751293302581068e-4,1.60377582254247e-5,-0.0010581659991696357
2018-01-08,-1.6563239796727537e-4,3.931142812743355e-5,-2.6045088807254976e-4,1.60377582254247e-5,-1.6561868167896954e-4
2018-01-09,6.859518344467956e-5,3.931142812743355e-5,3.980524706607057e-4,1.60377582254247e-5,6.859753614807396e-5
2018-01-10,-0.0010640260582923083,3.931142812743355e-5,-0.0011955543947082916,1.60377582254247e-5,-0.001063460183285625
2018-01-11,8.709181775869406e-4,3.931142812743355e-5,8.607835408488771e-4,1.60377582254247e-5,8.712975369453702e-4
2018-01-12,6.705986083588024e-5,3.931142812743355e-5,-2.8618302314874775e-4,1.60377582254247e-5,6.70621093985524e-5
2018-01-15,9.110891409464336e-4,3.931142812743355e-5,0.001229853978263387,1.60377582254247e-5,9.115043087331021e-4
2018-01-16,-0.0013227694184775394,3.931142812743355e-5,-0.001469241156411838,1.60377582254247e-5,-0.0013218949446285322
2018-01-17,7.795913835058943e-4,3.931142812743355e-5,0.0010095772658242294,1.60377582254247e-5,7.798953438515888e-4
2018-01-18,-8.378528042758174e-4,3.931142812743355e-5,-0.0011052675969039725,1.60377582254247e-5,-8.375019036228615e-4
2018-01-19,0.0012461266494236223,3.931142812743355e-5,0.0012597617270003135,1.60377582254247e-5,0.0012469033878415026
2018-01-22,-4.3120935186480487e-4,3.931142812743355e-5,-5.09410433665087e-4,1.60377582254247e-5,-4.311163944741292e-4
2018-01-23,2.616624234456559e-4,3.931142812743355e-5,4.372752700336717e-4,1.60377582254247e-5,2.6169666004371983e-4
2018-01-24,-0.0011481907360545358,3.931142812743355e-5,-7.205454170744368e-4,1.60377582254247e-5,-0.0011475318172836646
2018-01-25,-8.56364957043571e-4,3.931142812743355e-5,-0.001094175574741218,1.60377582254247e-5,-8.559983812220784e-4
2018-01-26,7.595671734039714e-4,3.931142812743355e-5,0.00116146071230297,1.60377582254247e-5,7.598557176009546e-4
2018-01-29,-0.002349395173646932,3.931142812743355e-5,-0.0017084481681856128,1.60377582254247e-5,-0.0023466375048466492
2018-01-30,-0.0014139685260020594,3.931142812743355e-5,-0.0014074258805341546,1.60377582254247e-5,-0.0014129693434987711
2018-01-31,3.4118753668994917e-4,3.931142812743355e-5,4.998323393665178e-4,1.60377582254247e-5,3.4124574777760763e-4
2018-02-01,-0.001459959848149019,3.931142812743355e-5,-6.896964766704881e-4,1.60377582254247e-5,-0.0014588946252271917
2018-02-02,-0.003459944090562817,3.931142812743355e-5,-0.0021957663407735565,1.60377582254247e-5,-0.003453965381328805
2018-02-05,-0.003214437853644758,3.931142812743355e-5,-0.0032102140758316355,1.60377582254247e-5,-0.003209277079430861
2018-02-06,0.0013579854174376772,3.931142812743355e-5,0.0011741179563477082,1.60377582254247e-5,0.0013589078971587565
2018-02-07,-9.00762729384102e-4,3.931142812743355e-5,1.507065647810426e-4,1.60377582254247e-5,-9.003571644184971e-4
2018-02-08,-0.003912530301892934,3.931142812743355e-5,-0.003401428557986799,1.60377582254247e-5,-0.003904886327554591
2018-02-09,6.078284133450341e-4,3.931142812743355e-5,-3.6798444380141816e-4,1.60377582254247e-5,6.080131784682585e-4
2018-02-12,0.0031023355597627495,3.931142812743355e-5,0.0032410746274502173,1.60377582254247e-5,0.003107152782984901
2018-02-13,-0.0012719458709418822,3.931142812743355e-5,-0.0016404287124238907,1.60377582254247e-5,-0.0012711372906523133
